# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
#[BULBASAUR]
#Name = Bulbasaur
#Types = GRASS,POISON
#BaseStats = 45,49,49,45,65,65
#GenderRatio = FemaleOneEighth
#GrowthRate = Parabolic
#BaseExp = 64
#EVs = SPECIAL_ATTACK,1
#CatchRate = 45
#Happiness = 50
#Abilities = OVERGROW
#HiddenAbilities = CHLOROPHYLL
#Moves = 1,TACKLE,1,GROWL,3,VINEWHIP,6,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,18,SEEDBOMB,21,TAKEDOWN,24,SWEETSCENT,27,SYNTHESIS,30,WORRYSEED,33,DOUBLEEDGE,36,SOLARBEAM
#TutorMoves = AMNESIA,ATTRACT,BODYSLAM,BULLETSEED,CHARM,CUT,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HELPINGHAND,HIDDENPOWER,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,POWERWHIP,PROTECT,REST,ROCKSMASH,ROUND,SAFEGUARD,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP
#EggMoves = AMNESIA,CHARM,CURSE,GRASSYTERRAIN,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE
##EggGroups = Monster,Grass
#HatchSteps = 5120
#Height = 0.7
#Weight = 6.9
#Color = Green
#Shape = Quadruped
#Habitat = Grassland
#Category = Seed
#Pokedex = Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.
#Generation = 1
#Evolutions = IVYSAUR,Level,16
#-------------------------------
[MOLLUCOTTA]
BaseStats = 80,70,70,70,90,100
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 216
EVs = SPECIAL_DEFENSE,3
CatchRate = 45
Happiness = 70
Abilities = SWIFTSWIM,RAINDISH
HiddenAbilities = OWNTEMPO
Moves = 1,ASTONISH,1,GROWL,1,MEGADRAIN,1,NATUREPOWER
TutorMoves = ATTRACT,BLIZZARD,BRICKBREAK,DIVE,DOUBLETEAM,ENERGYBALL,FACADE,FOCUSBLAST,GIGAIMPACT,GRASSKNOT,HAIL,HIDDENPOWER,HYPERBEAM,ICEBEAM,PROTECT,RAINDANCE,REST,RETURN,ROUND,SCALD,SLEEPTALK,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SURF,SWAGGER,SWORDSDANCE,THIEF,TOXIC,WATERFALL,ZENHEADBUTT
EggGroups = Water1,Grass
HatchSteps = 3840
Height = 1.5
Weight = 55.0
Color = Green
Shape = Bipedal
Habitat = WatersEdge
Category = Carefree
Pokedex = Something scientific about Pludipolo? Well, Pludipolo are able to jump super high if that is a good enough fact. 
Generation = 3
WildItemUncommon = MENTALHERB
#-------------------------------
[DEWPIDER]
Name = Duhspooder
Types = WATER,BUG
BaseStats = 38,40,52,27,40,72
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 54
EVs = SPECIAL_DEFENSE,1
CatchRate = 200
Happiness = 70
Abilities = WATERABSORB
HiddenAbilities = WATERBUBBLE
Moves = 1,WATERSPORT,1,BUBBLE,5,INFESTATION,8,SPIDERWEB,13,BUGBITE,16,BUBBLEBEAM,21,BITE,24,AQUARING,29,LEECHLIFE,32,CRUNCH,37,LUNGE,40,MIRRORCOAT,45,LIQUIDATION,48,ENTRAINMENT
TutorMoves = ATTRACT,BLIZZARD,DOUBLETEAM,FACADE,HIDDENPOWER,ICEBEAM,LIQUIDATION,POISONJAB,PROTECT,RAINDANCE,REST,RETURN,ROUND,SCALD,SLEEPTALK,SUBSTITUTE,SURF,SWAGGER,TOXIC,WATERFALL,XSCISSOR
EggMoves = AURORABEAM,POWERSPLIT,SPITUP,STOCKPILE
EggGroups = Water1,Bug
HatchSteps = 3840
Height = 0.3
Weight = 4.0
Color = Green
Shape = HeadLegs
Category = Water Bubble
Pokedex = Duhspooder have only once taken an breath, and it is right out of the egg before the water encapsulates them.
Generation = 7
WildItemUncommon = MYSTICWATER
Evolutions = ARAQUANID,Level,22
#-------------------------------
[ARAQUANID]
Name = AranSpooder
Types = WATER,BUG
BaseStats = 68,70,92,42,50,132
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 159
EVs = SPECIAL_DEFENSE,2
CatchRate = 100
Happiness = 70
Abilities = WATERABSORB
HiddenAbilities = WATERBUBBLE
Moves = 1,WIDEGUARD,1,SOAK,1,BUBBLE,1,INFESTATION,1,SPIDERWEB,1,BUGBITE,5,INFESTATION,8,SPIDERWEB,13,BUGBITE,16,BUBBLEBEAM,21,BITE,26,AQUARING,33,LEECHLIFE,38,CRUNCH,45,LUNGE,50,MIRRORCOAT,57,LIQUIDATION,62,ENTRAINMENT
TutorMoves = ATTRACT,BLIZZARD,DOUBLETEAM,FACADE,HIDDENPOWER,ICEBEAM,LIQUIDATION,POISONJAB,PROTECT,RAINDANCE,REFLECT,REST,RETURN,ROUND,SAFEGUARD,SCALD,SLEEPTALK,SUBSTITUTE,SURF,SWAGGER,TOXIC,WATERFALL,XSCISSOR
EggGroups = Water1,Bug
HatchSteps = 3840
Height = 1.8
Weight = 82.0
Color = Green
Shape = Insectoid
Category = Water Bubble
Pokedex = If AranSpooder ever stops holding their breath, the water instanly consume them. 
Generation = 7
WildItemUncommon = MYSTICWATER
#-------------------------------
[BARBOACH]
Name = Barbera
Types = WATER,GROUND
BaseStats = 50,48,43,60,46,41
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 58
EVs = HP,1
CatchRate = 190
Happiness = 70
Abilities = OBLIVIOUS,ANTICIPATION
HiddenAbilities = SAPSIPPER
Moves = 1,MUDSLAP,6,MUDSPORT,6,WATERSPORT,9,WATERGUN,13,MUDBOMB,15,AMNESIA,17,WATERPULSE,20,MAGNITUDE,25,REST,25,SNORE,28,AQUATAIL,32,MUDDYWATER,35,EARTHPOWER,39,FUTURESIGHT,44,SLIMESHOT
TutorMoves = BLIZZARD,DIVE,EARTHQUAKE,HAIL,ICEBEAM,RAINDANCE,ROCKTOMB,SANDSTORM,SCALD,SURF,WATERFALL
EggMoves = DRAGONDANCE,EARTHPOWER,FLAIL,HYDROPUMP,MUDSHOT,MUDDYWATER,SPARK,TAKEDOWN,THRASH,WHIRLPOOL
EggGroups = Water2
HatchSteps = 5120
Height = 0.4
Weight = 1.9
Color = Gray
Shape = Finned
Habitat = WatersEdge
Category = Whiskers
Pokedex = Its body is covered with a slimy film. What kinda fact is that?
Generation = 3
WildItemCommon = HEARTSCALE
WildItemUncommon = HEARTSCALE
Evolutions = WHISCASH,Level,30
#-------------------------------
[WHISCASH]
Name = Whiscash
Types = WATER,GROUND
BaseStats = 119,51,79,60,86,83
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 164
EVs = HP,2
CatchRate = 75
Happiness = 70
Abilities = UNAWARE,ANTICIPATION
HiddenAbilities = SAPSIPPER
Moves = 0,BULLDOZE,1,BULLDOZE,1,BELCH,1,EXTRASENSORY,1,TICKLE,1,MUDSLAP,1,MUDSPORT,1,WATERSPORT,1,WATERGUN,6,MUDSPORT,6,WATERSPORT,9,WATERGUN,13,MUDBOMB,15,AMNESIA,17,WATERPULSE,20,MAGNITUDE,25,REST,25,SLEEPTALK,28,AQUATAIL,34,MUDDYWATER,39,EARTHPOWER,45,FUTURESIGHT,52,SLIMESHOT
TutorMoves = BLIZZARD,DIVE,EARTHQUAKE,HAIL,ICEBEAM,RAINDANCE,ROCKSLIDE,ROCKTOMB,SANDSTORM,SCALD,STONEEDGE,STRENGTH,SURF,WATERFALL,ZENHEADBUTT
EggGroups = Water2
HatchSteps = 5120
Height = 0.9
Weight = 23.6
Color = Blue
Shape = Finned
Habitat = WatersEdge
Category = Whiskers
WildItemCommon = HEARTSCALE
WildItemUncommon = HEARTSCALE
Pokedex = The best boi, Whiscash. 
Generation = 3
#-------------------------------
[ZEAZAYA]
Name = Bea-Naya
Types = GRASS
BaseStats = 40,35,35,45,50,45
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 64
EVs = HP,1
CatchRate = 255
Happiness = 70
Abilities = REGENERATOR,HARVEST
HiddenAbilities = GRASSYSURGE
Moves = 1,HELPINGHAND,1,POUND,3,ABSORB,6,GROWTH,9,COTTONSPORE,12,MEGADRAIN,15,LEECHSEED,18,NATURALGIFT,21,SEEDBOMB,24,GIGADRAIN,27,SYNTHESIS,30,SUNNYDAY,33,WEATHERBALL
TutorMoves = HELPINGHAND,SUNNYDAY,SOLARBEAM,DIG,SAFEGUARD,ROUND,ALLYSWITCH,ENERGYBALL,BULLETSEED,GRASSKNOT,GYROBALL
EggMoves = GRASSWHISTLE,STRENGTHSAP,TEETERDANCE,NATUREPOWER
EggGroups = Grass
HatchSteps = 5120
Height = 0.1
Weight = 1.4
Color = Green
Shape = MultiBody
Habitat = Grassland
Category = Twin Kernel
Pokedex = Beans.
Generation = 9
Evolutions = ZHUSK,Level,17
#-------------------------------
[ZHUSK]
Name = Busk
Types = GRASS
BaseStats = 65,55,60,50,70,60
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 138
EVs = HP,2
CatchRate = 120
Happiness = 70
Abilities = REGENERATOR,HARVEST
HiddenAbilities = GRASSYSURGE
Moves = 0,BARRAGE,1,BARRAGE,1,HELPINGHAND,1,POUND,3,ABSORB,6,GROWTH,9,COTTONSPORE,12,MEGADRAIN,15,LEECHSEED,20,NATURALGIFT,25,SEEDBOMB,30,GIGADRAIN,35,SYNTHESIS,40,SUNNYDAY,45,WEATHERBALL
TutorMoves = HELPINGHAND,SUNNYDAY,SOLARBEAM,DIG,SAFEGUARD,ROUND,ALLYSWITCH,ENERGYBALL,BULLETSEED,GRASSKNOT,GYROBALL,STRENGTH,BULKUP,TRIATTACK,BODYPRESS,PSYCRUSH,BODYSLAM
EggGroups = Grass
HatchSteps = 5120
Height = 0.5
Weight = 5.9
Color = Green
Shape = MultiBody
Habitat = Grassland
Category = Kernel Cluster
Pokedex = MORE beans.
Generation = 9
Evolutions = MAYZMEN,ItemLevel35,SUNSTONE,BLAZEA,ItemLevel35,FIRESTONE
#-------------------------------
[MAYZMEN]
Name = Beanmen
Types = GRASS
BaseStats = 100,90,80,55,95,80
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 245
EVs = HP,3
CatchRate = 45
Happiness = 70
Abilities = REGENERATOR,HARVEST
HiddenAbilities = GRASSYSURGE
Moves = 1,HELPINGHAND,1,POUND,1,ABSORB,1,GROWTH,1,COTTONSPORE,1,MEGADRAIN,1,LEECHSEED,1,BARRAGE,1,NATURALGIFT,1,SEEDBOMB,1,GIGADRAIN,1,SYNTHESIS,1,SUNNYDAY,1,WEATHERBALL,50,EARTHPOWER,55,COTTONGUARD,60,LEAFSTORM
TutorMoves = HELPINGHAND,SUNNYDAY,SOLARBEAM,DIG,SAFEGUARD,ROUND,ALLYSWITCH,ENERGYBALL,BULLETSEED,GRASSKNOT,GYROBALL,STRENGTH,BULKUP,TRIATTACK,BODYPRESS,PSYCRUSH,BODYSLAM,CALMMIND,SOLARBLADE,GIGAIMPACT,SPEEDSWAP,POWERSWAP,GUARDSWAP,ZENHEADBUTT
EggGroups = Grass
HatchSteps = 5120
Height = 1.2
Weight = 51.7
Color = Green
Shape = MultiBody
Habitat = Grassland
Category = Kernel Colony
Pokedex = SO MANY BEANS!
Generation = 9
#-------------------------------
[BLAZEA]
Name = Blazea
Types = DARK,FIRE
BaseStats = 70,82,70,73,125,80
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 245
EVs = HP,3
CatchRate = 45
Happiness = 70
Abilities = FLASHFIRE,WHITESMOKE
HiddenAbilities = BERSERK
Moves = 0,EXPLOSION,1,EXPLOSION,1,HELPINGHAND,1,POUND,1,ABSORB,1,GROWTH,1,COTTONSPORE,1,MEGADRAIN,1,LEECHSEED,1,BARRAGE,1,NATURALGIFT,1,SEEDBOMB,1,GIGADRAIN,1,SYNTHESIS,1,SUNNYDAY,1,WEATHERBALL,15,INCINERATE,20,TORMENT,25,BEATUP,30,FLAMEBURST,35,NASTYPLOT,40,SUNNYDAY,45,FOULPLAY,50,BURNINGJEALOUSY,55,INFERNO,60,BURNUP
TutorMoves = HELPINGHAND,SUNNYDAY,SOLARBEAM,DIG,SAFEGUARD,ROUND,ALLYSWITCH,ENERGYBALL,BULLETSEED,GRASSKNOT,GYROBALL,STRENGTH,BULKUP,TRIATTACK,BODYPRESS,PSYCRUSH,BODYSLAM,DEFOG,WORKUP,ROAR,EXPLOSION,TAUNT,HYPERBEAM,HEX,FLAMETHROWER,FIREBLAST,TORMENT,SCORCHINGSANDS,WILLOWISP,FLAMEWHEEL,ASSURANCE,FOULPLAY,BRUTALSWING,NASTYPLOT,SCREECH,SNARL,DARKPULSE
EggGroups = Grass
HatchSteps = 5120
Height = 1.0
Weight = 24.0
Color = Green
Shape = MultiBody
Habitat = Grassland
Category = Burnt Kernel
Pokedex = Oh shi- THE BEANS!
Generation = 9
#-------------------------------
[PUMPKABOO]
Name = Plumpkaboo
Types = GHOST,GRASS
BaseStats = 44,44,70,56,66,55
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 67
EVs = DEFENSE,1
CatchRate = 120
Happiness = 70
Abilities = PICKUP,FRISK
HiddenAbilities = FLAREBOOST
Moves = 1,TRICK,1,ASTONISH,1,CONFUSERAY,4,SCARYFACE,6,TRICKORTREAT,11,WORRYSEED,16,MEGADRAIN,20,LEECHSEED,23,TRICKORTREAT,26,MAGICALLEAF,30,SHADOWBALL,36,HEX,40,WILLOWISP,42,PAINSPLIT,48,GIGADRAIN
TutorMoves = ALLYSWITCH,ATTRACT,DARKPULSE,DOUBLETEAM,ENERGYBALL,EXPLOSION,FACADE,FIREBLAST,FLAMETHROWER,FOULPLAY,GRASSKNOT,GYROBALL,HIDDENPOWER,LIGHTSCREEN,PROTECT,PSYCHIC,REST,RETURN,ROCKSLIDE,ROUND,SAFEGUARD,HEX,SLEEPTALK,SLUDGEBOMB,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,THIEF,TOXIC,TRICKROOM,WILLOWISP
EggMoves = BESTOW,CURSE,DESTINYBOND,DISABLE
EggGroups = Amorphous
HatchSteps = 5120
Height = 0.3
Weight = 3.5
Color = Brown
Shape = Head
Category = Pumpkin
Pokedex = Aw it is an cutie owo. "Do not put that in".
FormName = Small Size
Generation = 6
Evolutions = GOURGEIST,Trade,
#-------------------------------
[GOURGEIST]
Name = Gourgantic
Types = GHOST,GRASS
BaseStats = 55,58,122,99,85,75
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 173
EVs = DEFENSE,2
CatchRate = 60
Happiness = 70
Abilities = PICKUP,FRISK
HiddenAbilities = FLAREBOOST
Moves = 0,SHADOWSNEAK,1,EXPLOSION,1,PHANTOMFORCE,1,TRICK,1,ASTONISH,1,CONFUSERAY,1,SCARYFACE,4,SCARYFACE,6,TRICKORTREAT,11,WORRYSEED,16,MEGADRAIN,20,LEECHSEED,23,TRICKORTREAT,26,MAGICALLEAF,30,SHADOWBALL,36,HEX,40,WILLOWISP,42,PAINSPLIT,48,GIGADRAIN,57,MOONBLAST,63,EERIESPELL,75,MINDBLOWN
TutorMoves = ALLYSWITCH,ATTRACT,DARKPULSE,DOUBLETEAM,ENERGYBALL,EXPLOSION,FACADE,FIREBLAST,FLAMETHROWER,FOCUSBLAST,FOULPLAY,GIGAIMPACT,GRASSKNOT,GYROBALL,HIDDENPOWER,HYPERBEAM,LIGHTSCREEN,PROTECT,PSYCHIC,REST,RETURN,ROCKSLIDE,ROUND,SAFEGUARD,HEX,SLEEPTALK,SLUDGEBOMB,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,THIEF,TOXIC,TRICKROOM,WILLOWISP
EggGroups = Amorphous
HatchSteps = 5120
Height = 0.7
Weight = 9.5
Color = Brown
Shape = HeadBase
Category = Pumpkin
Pokedex = BIG and smol. They are all so cute. "I SAID, DO NOT PUT THAT IN"
FormName = Small Size
Generation = 6
#-------------------------------
[PURRLOIN]
Name = Loins
Types = DARK
BaseStats = 41,50,37,66,50,37
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 56
EVs = SPEED,1
CatchRate = 255
Happiness = 70
Abilities = LIMBER,UNBURDEN
HiddenAbilities = PRANKSTER
Moves = 1,SCRATCH,3,GROWL,6,ASSIST,10,SANDATTACK,12,FURYSWIPES,15,PURSUIT,19,TORMENT,21,FAKEOUT,24,HONECLAWS,28,ASSURANCE,30,SLASH,33,CAPTIVATE,37,NIGHTSLASH,39,SNATCH,42,NASTYPLOT,46,SUCKERPUNCH,49,PLAYROUGH
TutorMoves = AERIALACE,ATTRACT,CUT,DARKPULSE,DOUBLETEAM,FACADE,FOULPLAY,GRASSKNOT,HIDDENPOWER,PROTECT,RAINDANCE,REST,RETURN,ROUND,SHADOWCLAW,SLEEPTALK,SNARL,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,THUNDERWAVE,TORMENT,TOXIC,UTURN,PAYDAY
EggMoves = CHARM,COPYCAT,COVET,ENCORE,FAKETEARS,FEINTATTACK,FOULPLAY,PAYDAY,YAWN
EggGroups = Field
HatchSteps = 5120
Height = 0.4
Weight = 10.1
Color = Purple
Shape = Quadruped
Category = Devious
Pokedex = Their steps make the earth shake. 
Generation = 5
Evolutions = LIEPARD,Level,20
#-------------------------------
[LIEPARD]
Name = Lipardyo
Types = DARK
BaseStats = 64,88,50,106,88,50
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 156
EVs = SPEED,2
CatchRate = 90
Happiness = 70
Abilities = LIMBER,UNBURDEN
HiddenAbilities = PRANKSTER
Moves = 1,SCRATCH,1,GROWL,1,ASSIST,1,SANDATTACK,3,GROWL,6,ASSIST,10,SANDATTACK,12,FURYSWIPES,15,PURSUIT,19,TORMENT,22,FAKEOUT,26,HONECLAWS,31,ASSURANCE,34,SLASH,38,TAUNT,43,NIGHTSLASH,47,SNATCH,50,NASTYPLOT,55,SUCKERPUNCH,58,PLAYROUGH
TutorMoves = AERIALACE,ATTRACT,CUT,DARKPULSE,DOUBLETEAM,FACADE,FOULPLAY,GIGAIMPACT,GRASSKNOT,HIDDENPOWER,HYPERBEAM,PROTECT,RAINDANCE,REST,RETURN,ROUND,SHADOWCLAW,SLEEPTALK,SNARL,SUBSTITUTE,SUNNYDAY,SWAGGER,TAUNT,THIEF,THUNDERWAVE,TORMENT,TOXIC,UTURN,PAYDAY
EggGroups = Field
HatchSteps = 5120
Height = 1.1
Weight = 37.5
Color = Purple
Shape = Quadruped
Category = Cruel
Pokedex = B).
Generation = 5
#-------------------------------
[DRILBUR]
Name = Driglett
Types = GROUND
BaseStats = 60,85,40,68,30,45
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 66
EVs = ATTACK,1
CatchRate = 120
Happiness = 70
Abilities = SANDRUSH,SANDFORCE
HiddenAbilities = MOLDBREAKER
Moves = 1,SCRATCH,1,MUDSPORT,5,RAPIDSPIN,8,MUDSLAP,12,FURYSWIPES,15,METALCLAW,19,DIG,22,HONECLAWS,26,SLASH,29,ROCKSLIDE,33,EARTHQUAKE,36,SWORDSDANCE,40,SANDSTORM,43,DRILLRUN,47,FISSURE
TutorMoves = AERIALACE,ATTRACT,BRICKBREAK,CUT,DOUBLETEAM,DRILLRUN,EARTHQUAKE,FACADE,HIDDENPOWER,POISONJAB,PROTECT,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,SANDSTORM,SHADOWCLAW,SLEEPTALK,SLUDGEBOMB,STRENGTH,SUBSTITUTE,SWAGGER,SWORDSDANCE,TOXIC,XSCISSOR
EggMoves = CRUSHCLAW,EARTHPOWER,IRONDEFENSE,METALSOUND,RAPIDSPIN,ROCKCLIMB,SKULLBASH,SUBMISSION
EggGroups = Field
HatchSteps = 5120
Height = 0.3
Weight = 8.5
Color = Gray
Shape = BipedalTail
Category = Mole
Pokedex = Driglett di, Driglett di~.
Generation = 5
Evolutions = EXCADRILL,Level,31
#-------------------------------
[EXCADRILL]
Name = Excatrio
Types = GROUND,STEEL
BaseStats = 110,135,60,88,50,65
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 178
EVs = ATTACK,2
CatchRate = 60
Happiness = 70
Abilities = SANDRUSH,SANDFORCE
HiddenAbilities = MOLDBREAKER
Moves = 0,HORNDRILL,1,HORNDRILL,1,ROTOTILLER,1,SCRATCH,1,MUDSPORT,1,RAPIDSPIN,1,MUDSLAP,5,RAPIDSPIN,8,MUDSLAP,12,FURYSWIPES,15,METALCLAW,19,DIG,22,HONECLAWS,26,SLASH,29,ROCKSLIDE,36,EARTHQUAKE,42,SWORDSDANCE,49,SANDSTORM,55,DRILLRUN,62,FISSURE
TutorMoves = AERIALACE,ATTRACT,BRICKBREAK,BRUTALSWING,CUT,DOUBLETEAM,DRILLRUN,EARTHQUAKE,FACADE,FOCUSBLAST,GIGAIMPACT,HIDDENPOWER,HYPERBEAM,POISONJAB,PROTECT,REST,RETURN,ROCKSLIDE,ROCKTOMB,ROUND,SANDSTORM,SHADOWCLAW,SLEEPTALK,SLUDGEBOMB,STRENGTH,SUBSTITUTE,SWAGGER,SWORDSDANCE,TOXIC,XSCISSOR
EggGroups = Field
HatchSteps = 5120
Height = 0.7
Weight = 40.4
Color = Gray
Shape = Bipedal
Category = Subterrene
Pokedex = Trio trio trio~.
Generation = 5
#-------------------------------
[PHANTUMP]
Name = Fanumtax
Types = GHOST,GRASS
BaseStats = 43,70,48,38,50,60
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 62
EVs = ATTACK,1
CatchRate = 120
Happiness = 70
Abilities = NATURALCURE,HARVEST
HiddenAbilities = SHEERFORCE
Moves = 1,TACKLE,1,CONFUSERAY,5,ASTONISH,8,GROWTH,13,INGRAIN,19,FEINTATTACK,23,LEECHSEED,28,WILLOWISP,31,HORNLEECH,35,FORESTSCURSE,39,DESTINYBOND,45,HAUNT,49,WOODHAMMER,54,GRAVAPPLE
TutorMoves = ALLYSWITCH,ATTRACT,CUT,DARKPULSE,DOUBLETEAM,ENERGYBALL,FACADE,FOULPLAY,GRASSKNOT,POISONJAB,PROTECT,PSYCHIC,REFLECT,ROCKSLIDE,SAFEGUARD,HEX,SHADOWCLAW,SLEEPTALK,SOLARBEAM,STRENGTH,SUNNYDAY,SWAGGER,THIEF,TOXIC,TRICKROOM,WILLOWISP,PAYDAY
EggMoves = BESTOW,GRUDGE,IMPRISON,POWERUPPUNCH,VENOMDRENCH
EggGroups = Grass,Amorphous
HatchSteps = 5120
Height = 0.4
Weight = 7.0
Color = Brown
Shape = HeadArms
Category = Stump
Pokedex = The best snack is the souls of the innocent :3.
Generation = 6
Evolutions = TREVENANT,Trade,
#-------------------------------
[TREVENANT]
Name = Trevenstick
Types = GHOST,GRASS
BaseStats = 85,120,82,56,65,82
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 166
EVs = ATTACK,2
CatchRate = 60
Happiness = 70
Abilities = NATURALCURE,HARVEST
HiddenAbilities = SHEERFORCE
Moves = 0,SHADOWCLAW,1,SHADOWCLAW,1,HORNLEECH,1,TACKLE,1,CONFUSERAY,1,ASTONISH,1,GROWTH,5,ASTONISH,8,GROWTH,13,INGRAIN,19,FEINTATTACK,23,LEECHSEED,28,WILLOWISP,31,HORNLEECH,35,FORESTSCURSE,39,DESTINYBOND,45,HAUNT,49,WOODHAMMER,54,GRAVAPPLE,61,SHADOWFORCE,74,SPIKYSHIELD,82,JUNGLEHEALING
TutorMoves = ALLYSWITCH,ATTRACT,BRUTALSWING,CALMMIND,CUT,DARKPULSE,DOUBLETEAM,EARTHQUAKE,ENERGYBALL,FACADE,FOCUSBLAST,FOULPLAY,GRASSKNOT,POISONJAB,PROTECT,PSYCHIC,REFLECT,ROCKSLIDE,SAFEGUARD,HEX,SHADOWCLAW,SLEEPTALK,SOLARBEAM,STRENGTH,SUNNYDAY,SWAGGER,THIEF,TOXIC,TRICKROOM,WILLOWISP,XSCISSOR,PAYDAY
EggGroups = Grass,Amorphous
HatchSteps = 5120
Height = 1.5
Weight = 71.0
Color = Brown
Shape = Multiped
Category = Elder Tree
Pokedex = The worst lorax rip off.
Generation = 6
#-------------------------------
[LILORINA]
Name = Lilcry
Types = GHOST,WATER
BaseStats = 50,30,45,40,65,55
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 55
EVs = SPECIAL_ATTACK,1
CatchRate = 190
Happiness = 35
Abilities = GRIMTEARS,TANGLINGHAIR
HiddenAbilities = DRIZZLE
Moves = 1,ASTONISH,1,BUBBLE,4,DISARMINGVOICE,8,FAKETEARS,12,WATERPULSE,16,WHIRLPOOL,20,HEX,24,BITINGCOLD,28,TORMENT,32,CURSE,36,OMINOUSWIND,40,SURF,44,SHADOWBALL,48,SPITE,52,DESTINYBOND,56,HYDROPUMP
TutorMoves = SURF,WATERFALL,DEFOG,DIVE,RAINDANCE,HEX,ROUND,SCALD,WILLOWISP,BITINGCOLD,PLAYROUGH
EggMoves = HAZE,LIFEDEW,MUDDYWATER,PERISHSONG
EggGroups = Humanlike,Water1
HatchSteps = 5120
Height = 0.6
Weight = 0.9
Color = Purple
Shape = HeadBase
Habitat = WatersEdge
Category = Weeping
Pokedex = Gibe them hug :,(
Generation = 9
Evolutions = YAQUENA,Level,39
#-------------------------------
[YAQUENA]
Name = Yasqueen
Types = GHOST,WATER
BaseStats = 65,45,65,45,105,95
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 50
EVs = SPECIAL_ATTACK,1,SPECIAL_DEFENSE,1
CatchRate = 90
Happiness = 35
Abilities = GRIMTEARS,TANGLINGHAIR
HiddenAbilities = DRIZZLE
Moves = 1,ASTONISH,1,BUBBLE,1,DISARMINGVOICE,1,FAKETEARS,1,WATERPULSE,16,WHIRLPOOL,20,HEX,24,BITINGCOLD,28,TORMENT,32,CURSE,36,OMINOUSWIND,42,SURF,48,SHADOWBALL,54,SPITE,60,DESTINYBOND,66,HYDROPUMP
TutorMoves = SURF,WATERFALL,DEFOG,DIVE,RAINDANCE,HEX,ROUND,SCALD,WILLOWISP,BITINGCOLD,PLAYROUGH,LIGHTSCREEN,REFLECT,SAFEGUARD,ALLYSWITCH,FLASHCANNON,SCREECH,AVALANCHE
EggGroups = Humanlike,Water1
HatchSteps = 5120
Height = 1.0
Weight = 3.6
Color = Purple
Shape = HeadArms
Habitat = WatersEdge
Category = Weeping
Pokedex = YAAASSSSSS. Oh they are crying? well whatevs.
Generation = 9
Evolutions = YORONAQUA,Item,DUSKSTONE
#-------------------------------
[YORONAQUA]
Name = Yoranbith
Types = GHOST,WATER
BaseStats = 85,55,80,55,135,110
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 260
EVs = SPECIAL_ATTACK,2,SPECIAL_DEFENSE,1
CatchRate = 45
Happiness = 35
Abilities = GRIMTEARS,TANGLINGHAIR
HiddenAbilities = DRIZZLE
Moves = 0,CHILLINGWAIL,1,CHILLINGWAIL,1,ASTONISH,1,BUBBLE,1,DISARMINGVOICE,1,FAKETEARS,1,WATERPULSE,1,WHIRLPOOL,1,HEX,1,BITINGCOLD,1,TORMENT,1,CURSE,1,OMINOUSWIND,1,SURF,1,SHADOWBALL,1,SPITE,1,DESTINYBOND,1,HYDROPUMP
